id;category_code;category_name;category_description;depreciation_regime_id
1;mobile Fish;Home Loan Account Table Computer;Trace;33370
2;Metal deposit;Producer;Implementation Electronics Officer;61748
3;Home Loan Account;web-readiness;Namibia;39986
4;Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;46676
5;HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;24102
6;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;20794
7;Georgia Industrial;connect Markets Chief;capacitor archive;57044
8;Aruba;software scale interactive;Louisiana Specialist Home Loan Account;27599
9;scalable;Small;deliverables reinvent 24 hour;1407
10;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;37081
