id;description;requested_by;recommended_by;reviewed_by;first_approver;second_approver;third_approver;fourth_approver
1;mobile Fish;77969;Savings Account Dam;Practical Fresh Pants;Metal deposit;Producer;Implementation Electronics Officer;methodology Albania
2;Home Namibia;39986;Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table;Automotive;Planner cross-platform access
3;Public-key;24102;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;Mayotte;Industrial;connect Markets Chief
4;capacitor archive;57044;Aruba;software scale interactive;Louisiana Specialist Home Loan Account;Plastic;Car Industrial deliverables;orange Books
5;magenta monitor 1080p;60595;Identity;Frozen IB;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus
6;hard drive Robust Networked;4043;system Small;Intelligent Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual
7;Refined Squares;21844;e-business;Ghana back-end National;Direct;Profit-focused;Jewelery cutting-edge;Games
8;Iraq Bedfordshire;69243;encompassing;Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers
9;Analyst paradigms;3305;ubiquitous;Public-key Granite;Way Dominican Republic;Bulgarian Lev navigate;Re-contextualized;web-enabled invoice withdrawal
10;bypassing optical;15071;Bedfordshire;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global
